id,title,year,author,genre,source_type,source_path,source_url,note
al_prisons_and_their_moral_influence_on_prisoners,Prisons And Their Moral Influence On Prisoners,1927,Unknown,unknown,local_txt,Prisons_And_Their_Moral_Influence_On_Prisoners.txt,https://theanarchistlibrary.org/library/prisons-and-their-moral-influence-on-prisoners.muse,Anarchist Library download (local file)
al_petr_kropotkin_prisons_universities_of_crime,Prisons Universities Of Crime,1913,Peter Kropotkin,unknown,local_txt,Prisons_Universities_Of_Crime.txt,https://theanarchistlibrary.org/library/petr-kropotkin-prisons-universities-of-crime.muse,Anarchist Library download (local file)
al_petr_kropotkin_process_under_socialism,Process Under Socialism,1887,Peter Kropotkin,unknown,local_txt,Process_Under_Socialism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-process-under-socialism.muse,Anarchist Library download (local file)
al_petr_kropotkin_proposed_communist_settlement_a_new_colony_for_tyneside_or_wearside,Proposed Communist Settlement A New Colony For Tyneside Or Wearside,1895,Peter Kropotkin,unknown,local_txt,Proposed_Communist_Settlement_A_New_Colony_For_Tyneside_Or_Wearside.txt,https://theanarchistlibrary.org/library/petr-kropotkin-proposed-communist-settlement-a-new-colony-for-tyneside-or-wearside.muse,Anarchist Library download (local file)
al_petr_kropotkin_revolutionary_government,Revolutionary Government,1892,Peter Kropotkin,unknown,local_txt,Revolutionary_Government.txt,https://theanarchistlibrary.org/library/petr-kropotkin-revolutionary-government.muse,Anarchist Library download (local file)
al_petr_kropotkin_revolutionary_studies,Revolutionary Studies,1892,Peter Kropotkin,unknown,local_txt,Revolutionary_Studies.txt,https://theanarchistlibrary.org/library/petr-kropotkin-revolutionary-studies.muse,Anarchist Library download (local file)
al_petr_kropotkin_russian_school_and_the_holy_synod,Russian School And The Holy Synod,1902,Peter Kropotkin,unknown,local_txt,Russian_School_And_The_Holy_Synod.txt,https://theanarchistlibrary.org/library/petr-kropotkin-russian-school-and-the-holy-synod.muse,Anarchist Library download (local file)
al_petr_kropotkin_scientific_basis_of_anarchy,Scientific Basis Of Anarchy,1887,Peter Kropotkin,unknown,local_txt,Scientific_Basis_Of_Anarchy.txt,https://theanarchistlibrary.org/library/petr-kropotkin-scientific-basis-of-anarchy.muse,Anarchist Library download (local file)
al_petr_kropotkin_small_communal_experiments_and_why_they_fail,Small Communal Experiments And Why They Fail,1893,Peter Kropotkin,unknown,local_txt,Small_Communal_Experiments_And_Why_They_Fail.txt,https://theanarchistlibrary.org/library/petr-kropotkin-small-communal-experiments-and-why-they-fail.muse,Anarchist Library download (local file)
al_petr_kropotkin_some_of_the_resources_of_canada,Some Of The Resources Of Canada,1898,Peter Kropotkin,unknown,local_txt,Some_Of_The_Resources_Of_Canada.txt,https://theanarchistlibrary.org/library/petr-kropotkin-some-of-the-resources-of-canada.muse,Anarchist Library download (local file)
al_petr_kropotkin_syndicalism_and_anarchism,Syndicalism And Anarchism,1908,Peter Kropotkin,unknown,local_txt,Syndicalism_And_Anarchism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-syndicalism-and-anarchism.muse,Anarchist Library download (local file)
al_action_masses,The Action of the Masses and the Individual,1890,Peter Kropotkin,essays,local_txt,Action_of_Masses.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-action-of-the-masses-and-the-individual,Anarchist Library export (local file)
al_petr_kropotkin_the_anarchist_idea_and_its_developments,The Anarchist Idea And Its Developments,1891,Peter Kropotkin,unknown,local_txt,The_Anarchist_Idea_And_Its_Developments.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-anarchist-idea-and-its-developments.muse,Anarchist Library download (local file)
